Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd Pkts/s,Bwd Pkts/s
10923,6,5079615.116119385,3,2,120,143,40.0,40.0,40.0,0.0,1269903.7790298462,2199372.1343146944,5079328.0601501465,61.03515625,0.5905959273331471,0.3937306182220981
10923,6,1,0,1,0,42,0,0,0,0,0,0,0,0,0.0,1000000.0
5353,17,1,1,0,86,0,86.0,86.0,86.0,0.0,0,0,0,0,1000000.0,0.0
137,17,1538795.9480285645,7,0,672,0,96.0,96.0,96.0,0.0,256465.99133809406,328296.4319255128,718626.0223388672,0.0,4.549011198637534,0.0
5353,17,4002667.188644409,4,0,1388,0,452.0,220.0,347.0,92.05161595539755,1334222.396214803,218376.4869156052,1638360.9771728516,1135707.139968872,0.999333647161079,0.0
3702,17,3989456.89201355,3,0,2052,0,684.0,684.0,684.0,0.0,1994728.446006775,45520.42484283447,2040248.8708496094,1949208.0211639404,0.7519820570077264,0.0
5353,17,1019362.9264831543,3,0,299,0,105.0,89.0,99.66666666666667,7.542472332656507,509681.46324157715,509681.46324157715,1019362.9264831543,0.0,2.9430146241929047,0.0
5355,17,394.1059112548828,2,0,122,0,61.0,61.0,61.0,0.0,394.1059112548828,0.0,394.1059112548828,394.1059112548828,5074.777979431337,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
10004,17,9010764.837265015,20,0,2220,0,111.0,111.0,111.0,0.0,474250.780908685,1094844.9671949663,3068243.0267333984,0.0,2.2195674131110144,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
1900,17,1,1,0,129,0,129.0,129.0,129.0,0.0,0,0,0,0,1000000.0,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
22222,17,9010764.837265015,4,0,224,0,56.0,56.0,56.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
3289,17,9010764.837265015,4,0,168,0,42.0,42.0,42.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
3289,17,9010764.837265015,4,0,168,0,42.0,42.0,42.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
3289,17,9010764.837265015,4,0,168,0,42.0,42.0,42.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
3289,17,9010764.837265015,4,0,168,0,42.0,42.0,42.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
3289,17,9010764.837265015,4,0,168,0,42.0,42.0,42.0,0.0,3003588.2790883384,48424.68478104109,3072036.027908325,2967465.877532959,0.44391348262220287,0.0
138,17,1,1,0,226,0,226.0,226.0,226.0,0.0,0,0,0,0,1000000.0,0.0
5353,17,2049426.0787963867,2,0,146,0,73.0,73.0,73.0,0.0,2049426.0787963867,0.0,2049426.0787963867,2049426.0787963867,0.9758829658177208,0.0
5353,17,7066097.021102905,2,0,186,0,93.0,93.0,93.0,0.0,7066097.021102905,0.0,7066097.021102905,7066097.021102905,0.28304168397730717,0.0
5353,17,716654.0622711182,6,0,898,0,265.0,74.0,149.66666666666666,78.22332701240015,143330.81245422363,122940.032008513,307646.0361480713,0.0,8.372240270271618,0.0
137,17,3381397.008895874,5,0,444,0,96.0,78.0,88.8,8.818163074019441,845349.2522239685,765554.1492007801,2042557.954788208,0.0,1.4786787788733058,0.0
5353,17,7989774.942398071,9,0,561,0,64.0,61.0,62.333333333333336,1.1547005383792515,998721.8677997589,2642369.6911200886,7989774.942398071,0.0,1.1264397389019216,0.0
3702,17,1,1,0,652,0,652.0,652.0,652.0,0.0,0,0,0,0,1000000.0,0.0
